Strike;Bid;Ask;Price;Expiry
4205;343,7;348,2;345,95;8
4275;275,7;280,1;277,9;8
4330;223,9;227,9;225,9;8
4395;164,9;168,3;166,6;8
4520;67;68,3;67,65;8
4570;38;38,8;38,4;8
4640;12,7;13,2;12,95;8
4700;3,8;4,1;3,95;8
4770;0,75;0,9;0,825;8
4810;0,25;0,4;0,325;8
3620;926,7;931,6;929,15;36
3740;808,9;813,7;811,3;36
3860;691,8;696,5;694,15;36
4000;557,7;562,1;559,9;36
4125;441;445,1;443,05;36
4260;320,9;324,4;322,65;36
4380;221,3;224;222,65;36
4520;119,8;120,9;120,35;36
4645;51,6;52,4;52;36
4775;14,6;14,9;14,75;36
4900;3,6;3,9;3,75;36
5035;0,95;1,2;1,075;36
5120;0,45;0,6;0,525;36
3375;1174,6;1190,9;1182,75;99
3520;1035,5;1051,2;1043,35;99
3630;931,4;946,5;938,95;99
3850;731,9;737,3;734,6;99
4075;533,1;537,7;535,4;99
4200;429;432,9;430,95;99
4520;191,3;193;192,15;99
4770;64,1;65,3;64,7;99
4960;20,6;21,2;20,9;99
5150;6,1;6,6;6,35;99
5400;1,25;1,45;1,35;99
2300;2232,4;2250,3;2241,35;190
3200;1361,7;1378;1369,85;190
3700;907,8;914,6;911,2;190
4100;572,8;578,3;575,55;190
4500;282,7;284,8;283,75;190
4700;164,7;167,5;166,1;190
4850;96,9;98,6;97,75;190
5025;47,1;48,4;47,75;190
5175;24;24,5;24,25;190
5400;8,8;9,4;9,1;190
5600;3,7;4,1;3,9;190
5800;1,75;2,1;1,925;190
6200;0,5;0,8;0,65;190
