Strike;Bid;Ask;Price;Expiry
4355;166,6;168,3;167,45;1
4360;161,8;163,5;162,65;1
4365;157;158,6;157,8;1
4370;152,2;153,9;153,05;1
4375;147,5;149;148,25;1
4380;142,7;144,3;143,5;1
4385;138;139,6;138,8;1
4390;133,4;135;134,2;1
4395;128,7;130,3;129,5;1
4400;124,1;125,6;124,85;1
4405;119,6;121,1;120,35;1
4410;115;116,5;115,75;1
4415;110,6;112;111,3;1
4420;106,1;107,6;106,85;1
4425;101,7;103,1;102,4;1
4430;97,3;98,8;98,05;1
4435;93;94,5;93,75;1
4440;88,9;90;89,45;1
4445;84,7;85,8;85,25;1
4450;80,6;81,6;81,1;1
4455;76,4;77,5;76,95;1
4460;72,5;73,5;73;1
4465;68,5;69,6;69,05;1
4470;64,6;65,7;65,15;1
4475;60,8;61,9;61,35;1
4480;57,2;58;57,6;1
4485;53,6;54,5;54,05;1
4490;50,1;50,8;50,45;1
4495;46,7;47,3;47;1
4500;43,4;44;43,7;1
4505;40,1;40,7;40,4;1
4510;36,9;37,5;37,2;1
4515;33,9;34,4;34,15;1
4520;31,1;31,5;31,3;1
4525;28,3;28,8;28,55;1
4530;25,7;26,2;25,95;1
4535;23,2;23,6;23,4;1
4540;20,8;21,3;21,05;1
4545;18,6;19;18,8;1
4550;16,6;17;16,8;1
4555;14,7;15;14,85;1
4560;12,9;13,3;13,1;1
4565;11,3;11,6;11,45;1
4570;9,9;10,1;10;1
4575;8,5;8,8;8,65;1
4580;7,3;7,6;7,45;1
4585;6,3;6,5;6,4;1
4590;5,3;5,5;5,4;1
4595;4,5;4,7;4,6;1
4600;3,8;4;3,9;1
4605;3,1;3,3;3,2;1
4610;2,6;2,8;2,7;1
4615;2,1;2,3;2,2;1
4620;1,75;1,9;1,825;1
4625;1,4;1,55;1,475;1
4630;1,15;1,25;1,2;1
4635;0,9;1,05;0,975;1
4640;0,7;0,8;0,75;1
4645;0,55;0,65;0,6;1
4650;0,45;0,55;0,5;1
4655;0,3;0,45;0,375;1
4660;0,25;0,35;0,3;1
4665;0,2;0,3;0,25;1
4670;0,15;0,25;0,2;1
4675;0,1;0,2;0,15;1
4680;0,1;0,15;0,125;1
4685;0,05;0,15;0,1;1
4290;229,4;236;232,7;4
4295;225,2;231,1;228,15;4
4300;219,7;226,2;222,95;4
4305;214,9;221,4;218,15;4
4310;210,1;216,6;213,35;4
4315;205,3;211,7;208,5;4
4320;200,5;206,9;203,7;4
4325;195,8;202,2;199;4
4330;193,4;195,3;194,35;4
4335;186,3;192,6;189,45;4
4340;183,6;187,9;185,75;4
4345;178,9;183,2;181,05;4
4350;174,2;178,5;176,35;4
4355;169,6;173,8;171,7;4
4360;165;169,1;167,05;4
4365;160,3;164,4;162,35;4
4370;155,7;159,8;157,75;4
4375;151,2;155,2;153,2;4
4380;146,6;150,7;148,65;4
4385;142,2;146,1;144,15;4
4390;137,7;141,6;139,65;4
4395;133,3;137,2;135,25;4
4400;128,9;132,7;130,8;4
4405;124,6;128,3;126,45;4
4410;120,2;124;122,1;4
4415;115,9;119,6;117,75;4
4420;111,7;115,3;113,5;4
4425;107,4;111,1;109,25;4
4430;103,4;106,7;105,05;4
4435;99,2;102,5;100,85;4
4440;95,1;98,4;96,75;4
4445;91,2;94,4;92,8;4
4450;87,2;89,2;88,2;4
4455;83,3;86,4;84,85;4
4460;79,5;81,4;80,45;4
4465;75,7;77,6;76,65;4
4470;72,6;73,4;73;4
4475;69;69,8;69,4;4
4480;65,4;66,2;65,8;4
4485;61,8;62,7;62,25;4
4490;58,4;59,2;58,8;4
4495;55;55,8;55,4;4
4500;51,9;52,5;52,2;4
4505;48,7;49,3;49;4
4510;45,6;46,2;45,9;4
4515;42,6;43,1;42,85;4
4520;39,7;40,2;39,95;4
4525;36,9;37,4;37,15;4
4530;34,2;34,7;34,45;4
4535;31,6;32,1;31,85;4
4540;29,1;29,6;29,35;4
4545;26,7;27,2;26,95;4
4550;24,4;24,9;24,65;4
4555;22,3;22,7;22,5;4
4560;20,2;20,7;20,45;4
4565;18,3;18,7;18,5;4
4570;16,5;16,9;16,7;4
4575;14,8;15,2;15;4
4580;13,3;13,7;13,5;4
4585;11,8;12,2;12;4
4590;10,5;10,8;10,65;4
4595;9,3;9,6;9,45;4
4600;8,2;8,5;8,35;4
4605;7,2;7,4;7,3;4
4610;6,2;6,5;6,35;4
4615;5,4;5,7;5,55;4
4620;4,7;4,9;4,8;4
4625;4;4,3;4,15;4
4630;3,4;3,7;3,55;4
4635;2,95;3,2;3,075;4
4640;2,5;2,65;2,575;4
4645;2,1;2,25;2,175;4
4650;1,75;1,9;1,825;4
4655;1,5;1,6;1,55;4
4660;1,2;1,35;1,275;4
4665;1;1,15;1,075;4
4670;0,8;0,95;0,875;4
4675;0,65;0,8;0,725;4
4680;0,55;0,65;0,6;4
4685;0,45;0,55;0,5;4
4690;0,35;0,45;0,4;4
4695;0,3;0,4;0,35;4
4700;0,25;0,35;0,3;4
4705;0,2;0,25;0,225;4
4710;0,15;0,25;0,2;4
4715;0,15;0,2;0,175;4
4720;0,1;0,15;0,125;4
4280;255,7;259,7;257,7;11
4285;260,8;254,3;257,55;11
4290;246,5;250,5;248,5;11
4295;241,6;245,6;243,6;11
4300;237,1;240,5;238,8;11
4305;232,7;236,1;234,4;11
4310;228;231,6;229,8;11
4315;224,3;226,7;225,5;11
4320;219,1;222,5;220,8;11
4325;214,8;218,1;216,45;11
4330;210,2;213,6;211,9;11
4335;205,9;209,1;207,5;11
4340;201,5;204,7;203,1;11
4345;197,5;200;198,75;11
4350;192,6;195,7;194,15;11
4355;188,3;191,8;190,05;11
4360;184;187;185,5;11
4365;179,6;183,1;181,35;11
4370;175,7;178,5;177,1;11
4375;171,2;174,2;172,7;11
4380;167;170;168,5;11
4385;162,8;166,1;164,45;11
4390;158,8;161,6;160,2;11
4395;154,5;157,2;155,85;11
4400;150,4;153,1;151,75;11
4405;146,3;148,9;147,6;11
4410;142,4;145;143,7;11
4415;138,3;141,3;139,8;11
4420;134,3;136,8;135,55;11
4425;130,4;132,8;131,6;11
4430;126,7;129;127,85;11
4435;122,8;125,2;124;11
4440;119,7;120,6;120,15;11
4445;115,8;116,7;116,25;11
4450;112,2;113,1;112,65;11
4455;108,3;109,2;108,75;11
4460;104,7;105,6;105,15;11
4465;101,1;102;101,55;11
4470;97,5;98,4;97,95;11
4475;94;94,7;94,35;11
4480;90,5;91,2;90,85;11
4485;87;87,9;87,45;11
4490;83,7;84,3;84;11
4495;80,3;81;80,65;11
4500;77;77,7;77,35;11
4505;73,8;74,5;74,15;11
4510;70,6;71,4;71;11
4515;67,5;68,3;67,9;11
4520;64,5;65,1;64,8;11
4525;61,5;62,1;61,8;11
4530;58,5;59,3;58,9;11
4535;55,6;56,4;56;11
4540;53;53,6;53,3;11
4545;50,2;50,8;50,5;11
4550;47,6;48,3;47,95;11
4555;45;45,6;45,3;11
4560;42,6;43,1;42,85;11
4565;40,1;40,7;40,4;11
4570;37,8;38,4;38,1;11
4575;35,6;36,1;35,85;11
4580;33,4;33,9;33,65;11
4585;31,3;31,8;31,55;11
4590;29,3;29,8;29,55;11
4595;27,3;27,8;27,55;11
4600;25,4;26,1;25,75;11
4605;23,7;24,3;24;11
4610;22;22,6;22,3;11
4615;20,4;21;20,7;11
4620;18,9;19,4;19,15;11
4625;17,5;18;17,75;11
4630;16,1;16,6;16,35;11
4635;14,8;15,3;15,05;11
4640;13,6;14,1;13,85;11
4645;12,5;12,9;12,7;11
4650;11,4;11,9;11,65;11
4655;10,4;10,8;10,6;11
4660;9,5;10;9,75;11
4665;8,7;9,1;8,9;11
4670;7,9;8,3;8,1;11
4675;7,2;7,5;7,35;11
4680;6,5;6,8;6,65;11
4685;5,9;6,2;6,05;11
4690;5,3;5,6;5,45;11
4695;4,8;5;4,9;11
4700;4,3;4,6;4,45;11
4705;3,8;4,1;3,95;11
4710;3,4;3,7;3,55;11
4715;3,1;3,4;3,25;11
4720;2,75;3;2,875;11
4725;2,45;2,65;2,55;11
4730;2,2;2,4;2,3;11
4735;1,95;2,15;2,05;11
4740;1,75;1,9;1,825;11
4745;1,55;1,7;1,625;11
4750;1,35;1,5;1,425;11
4760;1,05;1,2;1,125;11
4770;0,8;0,95;0,875;11
4775;0,75;0,85;0,8;11
4780;0,65;0,8;0,725;11
4790;0,5;0,65;0,575;11
4800;0,4;0,55;0,475;11
4280;280;283,2;281,6;29
4285;275,7;279;277,35;29
4290;271,8;274,7;273,25;29
4295;267,3;270,4;268,85;29
4300;263,3;266,2;264,75;29
4305;259;262;260,5;29
4310;254,8;257,8;256,3;29
4315;250,6;253,4;252;29
4320;246,6;249,4;248;29
4325;242,6;245,3;243,95;29
4330;238,5;241,2;239,85;29
4335;234,2;237;235,6;29
4340;230,1;233;231,55;29
4345;226,3;228,9;227,6;29
4350;222,3;225,1;223,7;29
4355;218;220,8;219,4;29
4360;214;216,7;215,35;29
4365;210;212,7;211,35;29
4370;206,1;208,7;207,4;29
4375;202,1;204,7;203,4;29
4380;199;199,8;199,4;29
4385;195,1;195,9;195,5;29
4390;191,2;192;191,6;29
4395;187,4;188,2;187,8;29
4400;183,5;184,3;183,9;29
4405;179,7;180,5;180,1;29
4410;175,9;176,7;176,3;29
4415;172,1;172,9;172,5;29
4420;168,4;169,2;168,8;29
4425;164,7;165,4;165,05;29
4430;161;161,7;161,35;29
4435;157,3;158,1;157,7;29
4440;153,7;154,4;154,05;29
4445;150;150,8;150,4;29
4450;146,5;147,2;146,85;29
4455;142,9;143,7;143,3;29
4460;139,4;140,1;139,75;29
4465;135,9;136,6;136,25;29
4470;132,4;133,1;132,75;29
4480;125,6;126,3;125,95;29
4485;122,2;122,9;122,55;29
4490;118,9;119,6;119,25;29
4495;115,6;116,3;115,95;29
4500;112,3;113;112,65;29
4505;109,1;109,8;109,45;29
4510;105,9;106,6;106,25;29
4515;102,7;103,4;103,05;29
4520;99,6;100,3;99,95;29
4525;96,5;97,2;96,85;29
4530;93,5;94,2;93,85;29
4540;87,5;88,2;87,85;29
4550;81,7;82,4;82,05;29
4560;76,1;76,8;76,45;29
4570;70,7;71,4;71,05;29
4575;68,1;68,8;68,45;29
4580;65,6;66,2;65,9;29
4590;60,5;61,2;60,85;29
4600;55,7;56,4;56,05;29
4610;51,2;51,8;51,5;29
4620;46,8;47,4;47,1;29
4625;44,7;45,3;45;29
4630;42,7;43,3;43;29
4640;38,8;39,5;39,15;29
4650;35,1;35,8;35,45;29
4660;31,7;32,4;32,05;29
4670;28,6;29,2;28,9;29
4675;27,1;27,7;27,4;29
4680;25,6;26,2;25,9;29
4690;22,9;23,5;23,2;29
4700;20,5;21;20,75;29
4710;18,2;18,7;18,45;29
4720;16,2;16,6;16,4;29
4725;15,2;15,7;15,45;29
4730;14,3;14,7;14,5;29
4740;12,6;13,1;12,85;29
4750;11,1;11,5;11,3;29
4760;9,8;10,2;10;29
4770;8,6;9;8,8;29
4775;8,1;8,5;8,3;29
4780;7,6;7,9;7,75;29
4790;6,6;7;6,8;29
4800;5,8;6,2;6;29
4810;5,1;5,4;5,25;29
4820;4,5;4,8;4,65;29
4280;341,1;342,5;341,8;85
4285;337,4;338,6;338;85
4290;333,5;334,7;334,1;85
4295;329,6;330,8;330,2;85
4300;325,7;326,9;326,3;85
4305;321,9;323;322,45;85
4310;318;319,2;318,6;85
4315;314,2;315,3;314,75;85
4320;310,3;311,5;310,9;85
4325;306,5;307,7;307,1;85
4330;302,7;303,9;303,3;85
4335;298,9;300,1;299,5;85
4340;295,1;296,3;295,7;85
4345;291,4;292,5;291,95;85
4350;287,6;288,8;288,2;85
4355;283,9;285;284,45;85
4360;280,2;281,3;280,75;85
4365;276,4;277,6;277;85
4370;272,8;273,9;273,35;85
4375;269,1;270,2;269,65;85
4380;265,4;266,6;266;85
4385;261,8;262,9;262,35;85
4390;258,1;259,3;258,7;85
4395;254,5;255,6;255,05;85
4400;250,9;252;251,45;85
4405;247,3;248,4;247,85;85
4410;243,7;244,9;244,3;85
4415;240,2;241,3;240,75;85
4420;236,7;237,8;237,25;85
4425;233,1;234,3;233,7;85
4430;229,6;230,8;230,2;85
4435;226,1;227,3;226,7;85
4440;222,7;223,8;223,25;85
4445;219,2;220,3;219,75;85
4450;215,8;216,9;216,35;85
4455;212,4;213,5;212,95;85
4460;209;210,1;209,55;85
4465;205,6;206,7;206,15;85
4470;202,2;203,3;202,75;85
4475;198,9;200;199,45;85
4480;195,6;196,7;196,15;85
4485;192,3;193,4;192,85;85
4490;189;190,1;189,55;85
4495;185,7;186,8;186,25;85
4500;182,5;183,6;183,05;85
4505;179,3;180,4;179,85;85
4510;176,1;177,2;176,65;85
4515;172,9;174;173,45;85
4520;169,8;170,8;170,3;85
4525;166,7;167,7;167,2;85
4530;163,5;164,6;164,05;85
4535;160,5;161,5;161;85
4540;157,4;158,5;157,95;85
4545;154,4;155,4;154,9;85
4550;151,4;152,4;151,9;85
4555;148,4;149,4;148,9;85
4560;145,5;146,4;145,95;85
4565;142,5;143,5;143;85
4570;139,6;140,6;140,1;85
4575;136,8;137,7;137,25;85
4580;133,9;134,8;134,35;85
4585;131,1;132;131,55;85
4590;128,3;129,2;128,75;85
4595;125,5;126,4;125,95;85
4600;122,8;123,7;123,25;85
4605;120,1;121;120,55;85
4610;117,4;118,3;117,85;85
4615;114,8;115,6;115,2;85
4620;112,2;113;112,6;85
4625;109,6;110,4;110;85
4630;107,1;107,8;107,45;85
4635;104,5;105,3;104,9;85
4640;102,2;102,8;102,5;85
4645;99,6;100,4;100;85
4650;97,2;97,9;97,55;85
4655;94,8;95,5;95,15;85
4660;92,5;93,2;92,85;85
4665;90,1;90,8;90,45;85
4670;87,9;88,5;88,2;85
4675;85,6;86,3;85,95;85
4680;83,4;84,1;83,75;85
4685;81,2;81,9;81,55;85
4690;79,1;79,7;79,4;85
4695;76,9;77,6;77,25;85
4700;74,9;75,6;75,25;85
4705;72,8;73,5;73,15;85
4710;70,8;71,5;71,15;85
4715;68,9;69,5;69,2;85
4720;66,9;67,6;67,25;85
4725;65,1;65,8;65,45;85
4730;63,2;63,9;63,55;85
4735;61,4;62;61,7;85
4740;59,6;60,2;59,9;85
4745;57,9;58,5;58,2;85
4750;56,1;56,8;56,45;85
4755;54,5;55,1;54,8;85
4760;52,8;53,4;53,1;85
4765;51,2;51,8;51,5;85
4770;49,7;50,2;49,95;85
4775;48,2;48,7;48,45;85
4780;46,7;47,2;46,95;85
4060;577,4;591,5;584,45;176
4070;569,4;583,4;576,4;176
4075;565,4;579,4;572,4;176
4080;560,8;575,1;567,95;176
4090;553,5;567,4;560,45;176
4100;545,6;559,4;552,5;176
4110;537,7;551,5;544,6;176
4120;529,8;543,5;536,65;176
4125;531,9;536,8;534,35;176
4130;521,4;535,4;528,4;176
4140;513,6;527,5;520,55;176
4150;506,4;519,9;513,15;176
4160;498,6;512,1;505,35;176
4170;490,9;504,3;497,6;176
4175;487;500,4;493,7;176
4180;490,4;492,6;491,5;176
4190;482,7;484,9;483,8;176
4200;475,1;477,3;476,2;176
4210;467,5;469,7;468,6;176
4220;459,9;462,1;461;176
4225;456,1;458,3;457,2;176
4230;452,3;454,5;453,4;176
4240;444,8;447;445,9;176
4250;437,3;439,6;438,45;176
4260;429,9;432,1;431;176
4270;422,5;424,7;423,6;176
4275;418,8;421;419,9;176
4280;415,1;417,3;416,2;176
4290;407,7;410;408,85;176
4300;400,4;402,7;401,55;176
4310;393,2;395,4;394,3;176
4320;385,9;388,2;387,05;176
4325;382,3;384,5;383,4;176
4330;378,7;381;379,85;176
4340;371,6;373,8;372,7;176
4350;364,4;366,7;365,55;176
4360;357,4;359,6;358,5;176
4370;350,3;352,6;351,45;176
4375;346,8;349,1;347,95;176
4380;343,3;345,6;344,45;176
4390;336,4;338,6;337,5;176
4400;329,5;331,7;330,6;176
4410;322,6;324,8;323,7;176
4420;315,8;318;316,9;176
4425;312,4;314,6;313,5;176
4430;309;311,2;310,1;176
4440;302,3;304,5;303,4;176
4450;295,6;297,8;296,7;176
4460;289;291,2;290,1;176
4470;282,4;284,6;283,5;176
4475;279,1;281,3;280,2;176
4480;275,8;278,1;276,95;176
4490;269,4;271,6;270,5;176
4500;262,9;265,2;264,05;176
4510;256,6;258,8;257,7;176
4520;250,3;252,5;251,4;176
4525;247,2;249,2;248,2;176
4530;244;246,2;245,1;176
4540;237,8;240;238,9;176
4550;231,6;233,8;232,7;176
4560;225,6;227,88;226,74;176
4570;219,5;221,7;220,6;176
4575;216,6;218,6;217,6;176
4580;213,6;215,8;214,7;176
4590;207,7;209,9;208,8;176
4600;201,9;204;202,95;176
4610;196,1;198,3;197,2;176
4620;190,4;192,6;191,5;176
4625;187,6;189,8;188,7;176
4630;184,8;187;185,9;176
4640;179,3;181,4;180,35;176
4650;173,8;176;174,9;176
4660;168,5;170,6;169,55;176
4670;163,2;165,3;164,25;176
4675;160,5;162,7;161,6;176
4680;158;160,1;159,05;176
4690;152,8;154,9;153,85;176
4700;147,8;149,9;148,85;176
4710;142,9;144,9;143,9;176
4720;138;140,1;139,05;176
4725;135,6;137,7;136,65;176
4750;124,1;126,1;125,1;176
4775;113,1;115,1;114,1;176
4800;102,8;104,7;103,75;176
4825;93,1;95;94,05;176
4850;83,7;86,3;85;176
4875;75,4;77,8;76,6;176
4900;67,6;70,1;68,85;176
4950;54,1;56,4;55,25;176
5000;42,9;45;43,95;176
5050;34,6;35,5;35,05;176
5100;27,4;28,2;27,8;176
5200;17,2;17,9;17,55;176
5300;10,8;11,4;11,1;176
5400;6,8;7,4;7,1;176
5500;4,3;4,8;4,55;176
5600;2,85;3,2;3,025;176
5700;1,9;2,25;2,075;176
5800;1,3;1,65;1,475;176
6000;0,7;0,95;0,825;176
6200;0,4;0,65;0,525;176
3300;1293,4;1317,4;1305,4;378
3325;1271,7;1295,7;1283,7;378
3350;1250,1;1274,1;1262,1;378
3375;1228,6;1252,6;1240,6;378
3400;1207,2;1231,2;1219,2;378
3425;1185,9;1209,9;1197,9;378
3450;1164,7;1188,7;1176,7;378
3475;1143,6;1167,6;1155,6;378
3500;1122,6;1146,6;1134,6;378
3525;1101,7;1125,7;1113,7;378
3550;1080,8;1104,8;1092,8;378
3575;1060,1;1084,1;1072,1;378
3600;1039,5;1063,5;1051,5;378
3625;1019,1;1043,1;1031,1;378
3650;998,7;1022,7;1010,7;378
3675;978,4;1002,4;990,4;378
3700;958,3;982,3;970,3;378
3725;938,2;962,2;950,2;378
3750;918,3;942,3;930,3;378
3775;898,4;922,4;910,4;378
3800;878,7;902,7;890,7;378
3825;859,1;883,1;871,1;378
3850;839,6;863,6;851,6;378
3875;820,2;844,2;832,2;378
3900;801;825;813;378
3925;781,8;805,8;793,8;378
3950;762,8;786,8;774,8;378
3975;743,9;767,9;755,9;378
4000;725,2;749,2;737,2;378
4025;706,6;730,6;718,6;378
4050;688,1;712,1;700,1;378
4075;669,7;693,7;681,7;378
4100;651,5;675,5;663,5;378
4125;633,5;657,5;645,5;378
4150;615,5;639,5;627,5;378
4175;597,7;621,7;609,7;378
4200;580,1;604,1;592,1;378
4225;562,6;586,6;574,6;378
4250;545,3;569,3;557,3;378
4275;528,2;552,2;540,2;378
4300;511,2;535,2;523,2;378
4325;494,4;518,4;506,4;378
4350;477,7;501,7;489,7;378
4375;470,5;475,5;473;378
4400;454,3;459,2;456,75;378
4425;438,2;443,1;440,65;378
4450;422,3;427,2;424,75;378
4475;406,6;411,5;409,05;378
4500;391,1;396;393,55;378
4525;375,8;380,7;378,25;378
4550;360,8;365,6;363,2;378
4575;346;350,8;348,4;378
4600;331,4;336,2;333,8;378
4625;316,8;321,9;319,35;378
4650;302,7;307,8;305,25;378
4675;288,8;293,9;291,35;378
4700;275,2;280,3;277,75;378
4725;261,8;266,9;264,35;378
4750;248,8;253,8;251,3;378
4775;236,1;241,1;238,6;378
4800;223,7;228,6;226,15;378
4825;211,6;216,6;214,1;378
4850;199,9;204,8;202,35;378
4875;188,6;193,4;191;378
4900;177,6;182,4;180;378
4925;167;171,7;169,35;378
4950;156,7;161,4;159,05;378
4975;147;151,6;149,3;378
5000;137,6;142,2;139,9;378
5025;128,7;133,2;130,95;378
5050;120,2;124,7;122,45;378
5075;112,1;116,5;114,3;378
5100;104,5;108,8;106,65;378
5125;97,3;101,5;99,4;378
5150;90,4;94,6;92,5;378
5175;84;88,1;86,05;378
5200;78;82;80;378
5225;72,3;76,3;74,3;378
5250;67,1;71;69,05;378
5275;62,2;66;64,1;378
5300;57,6;61,3;59,45;378
5325;53,3;57;55,15;378
5350;49,4;53;51,2;378
5375;45,6;49,4;47,5;378
5400;42,3;46;44,15;378
5450;36,4;39,9;38,15;378
5500;31,4;34,6;33;378
5550;27,2;30,1;28,65;378
5600;23,6;26,3;24,95;378
5700;17,9;20,2;19,05;378
5800;13,6;15,7;14,65;378
5900;10,4;12,2;11,3;378
6000;7,9;9,5;8,7;378
6100;6,1;7,4;6,75;378
6200;4,7;5,9;5,3;378
6300;3,7;4,8;4,25;378
6400;2,95;4;3,475;378
